id,title,genre,year,users_rating
100001,#FriendButMarried 2,Biography,2020,6.5
100002,4 Mantan,Thriller,2020,6.4
100003,Aku Tahu Kapan Kamu Mati,Horror,2020,5.4
100004,Anak Garuda,Adventure,2020,9.1
100005,Dignitate,Drama,2020,7.6
100006,Guru-Guru Gokil,Comedy,2020,6.1
100007,Hunter in the Blue Side of Manchester,Biography,2020,6.2
100008,Janin,Horror,2020,6.1
100009,Mangkujiwo,Horror,2020,5.9
100010,Mariposa,Drama,2020,8.5
100011,May the Devil Take You: Chapter Two,Horror,2020,6.3
100012,Milea,Drama,2020,6.1
100013,Nanti Kita Cerita Tentang Hari Ini,Drama,2020,7.5
100014,Nikah Yuk,Drama,2020,6.9
100015,Rasuk 2,Horror,2020,6.4
100016,Si Doel the Movie 3,Drama,2020,7.2
100017,Surat dari Kematian,Horror,2020,6.2
100018,Temen Kondangan,Comedy,2020,6.0
100019,Titus: Mystery of the Enygma,Animation,2020,6.2
100020,Toko Barang Mantan,Comedy,2020,6.3
100021,#Malam Jumat: The Movie,Horror,2019,5.3
100022,#MoveOnAja,Comedy,2019,6.3
100023,27 Steps of May,Drama,2019,8.2
100024,99 Nama Cinta,Drama,2019,8.0
100025,Abracadabra,Comedy,2019,5.9
100026,After Met You,Drama,2019,7.8
100027,Ajari Aku Islam,Drama,2019,7.1
100028,Ambu,Drama,2019,7.8
100029,Anak Hoki,Drama,2019,4.7
100030,Anak Muda Palsu,Comedy,2019,8.8
100031,Antologi Rasa,Drama,2019,7.2
100032,Arwah Noni Belanda,Horror,2019,6.2
100033,Bebas,Comedy,2019,7.3
100034,Bike Boyz,Comedy,2019,7.2
100035,Bridezilla,Comedy,2019,6.0
100036,Bumi Itu Bulat,Drama,2019,7.3
100037,Calon Bini,Comedy,2019,7.0
100038,Danur 3: Sunyaruri,Horror,2019,4.7
100039,Darah Daging,Action,2019,7.2
100040,Death Whisper,Horror,2019,6.4
100041,Dilan 1991,Drama,2019,6.6
100042,Doremi & You,Drama,2019,7.8
100043,DreadOut,Adventure,2019,5.3
100044,Dua Garis Biru,Drama,2019,8.0
100045,Eggnoid,Drama,2019,6.2
100046,Ghost Writer,Comedy,2019,6.8
100047,Gundala,Action,2019,6.5
100048,Habibie & Ainun 3,Biography,2019,7.0
100049,Hayya: The Power of Love 2,Drama,2019,5.0
100050,Hiruk-Pikuk Si Al-Kisah,Drama,2019,6.5
100051,Hit & Run,Action,2019,6.2
100052,Homecoming,Drama,2019,7.5
100053,Horas Amang: Tiga Bulan Untuk Selamanya,Comedy,2019,9.4
100054,Humba Dreams,Drama,2019,7.0
100055,Ikut Aku ke Neraka,Horror,2019,5.8
100056,Imperfect,Comedy,2019,7.8
100057,Impetigore,Drama,2019,6.9
100058,Iqro: My Universe,Drama,2019,6.6
100059,Jeritan Malam,Horror,2019,6.5
100060,Kajeng Kliwon  Nightmare in Bali,Horror,2019,4.5
100061,Kapal Goyang Kapten,Comedy,2019,6.6
100062,Kelam,Horror,2019,4.5
